Sample 299: No. iterations = 512, Error = 0.5
Sample 300: No. iterations = 512, Error = 0.5
Sample 301: No. iterations = 512, Error = 0.5
Sample 302: No. iterations = 512, Error = 0.5
Sample 303: No. iterations = 512, Error = 0.5
Sample 304: No. iterations = 512, Error = 0.5
Sample 305: No. iterations = 512, Error = 0.5
Sample 306: No. iterations = 512, Error = 0.5
Sample 307: No. iterations = 512, Error = 0.5
Sample 308: No. iterations = 512, Error = 0.5
Sample 309: No. iterations = 512, Error = 0.5
Sample 310: No. iterations = 512, Error = 0.5
Sample 311: No. iterations = 512, Error = 0.5
Sample 312: No. iterations = 512, Error = 0.5
Sample 313: No. iterations = 512, Error = 0.5
Sample 314: No. iterations = 512, Error = 0.5
Sample 315: No. iterations = 512, Error = 0.5
Sample 316: No. iterations = 512, Error = 0.5
Sample 317: No. iterations = 512, Error = 0.5
Sample 318: No. iterations = 512, Error = 0.5
Sample 319: No. iterations = 512, Error = 0.5
Sample 320: No. iterations = 512, Error = 0.5
Sample 321: No. iterations = 512, Error = 0.5
Sample 322: No. iterations = 512, Error = 0.5
Sample 323: No. iterations = 512, Error = 0.5
Sample 324: No. iterations = 512, Error = 0.499873
Sample 325: No. iterations = 512, Error = 0.500045
Sample 326: No. iterations = 512, Error = 0.5
Sample 327: No. iterations = 512, Error = 0.5
Sample 328: No. iterations = 512, Error = 0.5
Sample 329: No. iterations = 512, Error = 0.5
Sample 330: No. iterations = 512, Error = 0.5
Sample 331: No. iterations = 512, Error = 0.5
Sample 332: No. iterations = 512, Error = 0.5
Sample 333: No. iterations = 512, Error = 0.5
Sample 334: No. iterations = 512, Error = 0.5
Sample 335: No. iterations = 512, Error = 0.5
Sample 336: No. iterations = 512, Error = 0.5
Sample 337: No. iterations = 512, Error = 0.5
Sample 338: No. iterations = 512, Error = 0.5
Sample 339: No. iterations = 512, Error = 0.5
Sample 340: No. iterations = 512, Error = 0.5
Sample 341: No. iterations = 512, Error = 0.5
Sample 342: No. iterations = 512, Error = 0.5
Sample 343: No. iterations = 512, Error = 0.5
Sample 344: No. iterations = 512, Error = 0.5
Sample 345: No. iterations = 512, Error = 0.5
Sample 346: No. iterations = 512, Error = 0.5
Sample 347: No. iterations = 512, Error = 0.5
Sample 348: No. iterations = 512, Error = 0.5
Sample 349: No. iterations = 512, Error = 0.5
Sample 350: No. iterations = 512, Error = 0.5
Sample 351: No. iterations = 512, Error = 0.5
Sample 352: No. iterations = 512, Error = 0.5
Sample 353: No. iterations = 512, Error = 0.5
Sample 354: No. iterations = 512, Error = 0.5
Sample 355: No. iterations = 512, Error = 0.5
Sample 356: No. iterations = 512, Error = 0.5
Sample 357: No. iterations = 512, Error = 0.5
